6       3
ID     CPU Burst  Arrival Time   Priority
 12         6        15           1
  7         4         2           8
  1         4         9          12
 11         6        36          11
  2         1         1          11
  6         7        39           5
  8         7        23           4
  4         3         6          12
  3         1         6           1
 13         9        13           8
  0         7        16           7
  9         5         1           3
  5         4        22           6
 10         2        26           5
